siteid,sitename,Gage_Statu,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,gnisid_med,rchcd_medr,comid_medr,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,GageGap_St,Reactivate,Gage_Histo,AddFlow_2s,AddFlow_2W,AddTelemet,AddTemp_2F,Infrastruc,waterbody,Tier,Primary_Be,SB19_Actio,CNRFC,reference_,refpotenti,ecosysmgmt,wtrsupply,wtrquality,pubsafety,geometry,siteid_str
11289660,TUOLUMNE R A LA GRANGE BRIDGE AT LA GRANGE CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1986,Inactive,N,Y,10,Inactive,N,Y,10,Inactive,N,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,3987.4617,1539.56693729,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11289660,255171,18040009036405,2823750,Upper Tuolumne,18040009,Peaslee Creek-Tuolumne River,1804000914,Peaslee Creek-Tuolumne River,180400091401,exclude,Y,3,N,N,N,N,,,0,water quality,None,,,,,,B,,POINT (-40782.1101000011 -38825.36070000008),11289660
11292500,CLARK FORK STANISLAUS R NR DARDANELLE CA,Inactive,USGS,NWIS,Inactive,Y,1,Inactive,N,Y,16071,Inactive,N,Y,3,Inactive,N,Y,3,Inactive,N,4,Snowmelt (SM),Stream/River - Perennial,175.1742,67.63510897,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11292500,,18040010000166,347487,Upper Stanislaus,18040010,Clark Fork,1804001001,Lower Clark Fork,180400100102,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (11226.371599998325 38598.76479999907),11292500
11292610,DONNELL PH NR STRAWBERRY CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,2923,Inactive,N,N,0,,N,N,0,,N,0,0,Pipeline,0.0,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11292610,,18040010001898,344901,Upper Stanislaus,18040010,Lower Middle Fork Stanislaus River,1804001004,Cow Creek-Middle Fork Stanislaus River,180400100403,exclude,N,4,N,N,N,N,Y,,0,flood,None,,,,,,B,B,POINT (-2917.707699999213 25564.474899999797),11292610
11292680,CASCADE C NR PINECREST CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1035,Inactive,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,13.2093,5.10013715,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11292680,,18040010039505,346973,Upper Stanislaus,18040010,Lower Middle Fork Stanislaus River,1804001004,Mill Creek-Middle Fork Stanislaus River,180400100402,exclude,Y,3,N,N,N,N,,,2,flood,None,,,,,,B,B,POINT (2480.3986999988556 29225.44549999945),11292680
11292901,MF STANISLAUS R BL BEARDSLEY DAM TOTAL FLOW CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,12363,Inactive,N,N,0,,N,N,0,,N,1,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,1.3752,0.53096747,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11292901,,18040010001452,343205,Upper Stanislaus,18040010,Lower Middle Fork Stanislaus River,1804001004,Dry Meadow Creek-Middle Fork Stanislaus River,180400100404,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (-8762.23999999836 19653.064600000158),11292901
11293000,MF STANISLAUS R A SBF NR AVERY CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,22279,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,835.1973,322.47134792,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11293000,234292,18040010000127,343235,Upper Stanislaus,18040010,Lower Middle Fork Stanislaus River,1804001004,Dry Meadow Creek-Middle Fork Stanislaus River,180400100404,exclude,Y,1,N,N,N,N,,,0,,None,,,,,,,,POINT (-12518.34470000118 18966.64719999954),11293000
11293500,NF STANISLAUS R BL SILVER C CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,12815,Inactive,N,Y,1,Inactive,N,Y,1,Inactive,N,4,Snowmelt (SM),Stream/River - Perennial,74.1735,28.6385367,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11293500,234375,18040010039324,342483,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Upper North Fork Stanislaus River,180400100301,exclude,Y,1,N,N,N,N,,,0,,None,,,,,,,,POINT (-1448.2314999997616 47003.53779999912),11293500
11293650,NF STANISLAUS R A CAMP WOLFEBORO NR BIG MEADOWS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1096,Inactive,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,122.6178,47.34297782,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11293650,234375,18040010000357,342527,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Middle North Fork Stanislaus River,180400100303,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-6918.1942999996245 43827.1799999997),11293650
11293700,HOBART C AT NF DIV TUNNL OUTLT NR SPICER MDWS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2116,Inactive,N,N,0,,N,N,0,,N,1,,Stream/River - Perennial,4.0167,1.5508559,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11293700,225374,18040010001579,346319,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Highland Creek,180400100302,exclude,Y,3,N,N,N,N,,,2,flood,None,,,,,,B,B,POINT (471.50149999931455 43894.278699999675),11293700
11294000,HIGHLAND C BL SPICER MEADOWS RES CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,24471,Inactive,N,N,0,,N,N,0,,N,4,Snowmelt (SM),Stream/River - Perennial,118.1754,45.62775829,https://waterdata.usgs.gov/nwis/inventory/?site_no=11294000&agency_cd=USGS,225290,18040010000330,347483,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Highland Creek,180400100302,exclude,Y,1,N,N,N,N,,,0,flood,None,,,,,,B,B,POINT (36.32999999821186 41776.36199999973),11294000
11294300,NF STANISLAUS R BL GAN DAMS NR BIG MDW CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2555,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,292.8159,113.05680462,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11294300,234375,18040010039293,342555,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Middle North Fork Stanislaus River,180400100303,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-9880.849899999797 42729.30480000004),11294300
11294400,NF STANISLAUS R A SOURGRASS CG NR DORINGTON CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2069,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,387.9225,149.7776531,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11294400,234375,18040010000297,342759,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Lower North Fork Stanislaus River,180400100306,exclude,Y,3,N,N,N,N,,,0,,None,,,,,,,,POINT (-19213.80380000174 33819.01050000079),11294400
11295100,NF STANISLAUS R BL UTICA CN NR AVERY CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1012,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,428.0427,165.26814256,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11295100,234375,18040010039426,343159,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Lower North Fork Stanislaus River,180400100306,exclude,Y,3,N,N,N,N,,,0,,None,,,,,,,,POINT (-25395.03519999981 24911.67400000058),11295100
11295210,BEAVER C DIV TO MCKAYS POINT RES NR ARNOLD CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,10830,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,502.5771,194.04602346,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11295210,,18040010039353,343061,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Beaver Creek,180400100304,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (-24441.03990000114 24140.264900000766),11295210
11295230,BEAVER CR BL DIV DAM NR ARNOLD CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,10834,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,502.5771,194.04602346,https://waterdata.usgs.gov/nwis/inventory/?site_no=11295230&agency_cd=USGS,,18040010039353,343061,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Beaver Creek,180400100304,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-24450.445099998266 24102.14120000042),11295230
11295270,NF STANISLAUS R BL MCKAYS POINT DAM NR AVERY CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,11018,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,437.5575,168.94182587,https://waterdata.usgs.gov/nwis/inventory/?site_no=11295270&agency_cd=USGS,234375,18040010039426,343159,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Lower North Fork Stanislaus River,180400100306,exclude,Y,1,N,N,N,N,,,0,,None,,,,,,,,POINT (-25731.769900001585 24053.423599999398),11295270
11295300,NF STANISLAUS R BL BEAVER C NR HATHAWAY PINES CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,10834,Inactive,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,524.25,202.4139735,https://waterdata.usgs.gov/nwis/inventory/?site_no=11295300&agency_cd=USGS,234375,18040010000264,343239,Upper Stanislaus,18040010,North Fork Stanislaus River,1804001003,Lower North Fork Stanislaus River,180400100306,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-27774.849700000137 21218.067099999636),11295300
11295400,STANISLAUS R NR HATHAWAY PINES CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,9929,Inactive,N,N,0,,N,Y,4019,Inactive,N,6,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,1628.847,628.90108439,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11295400,267673,18040010000092,343589,Upper Stanislaus,18040010,Upper Stanislaus River,1804001006,Stony Gulch-Stanislaus River,180400100602,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-32735.028400000185 13978.258199999109),11295400
11295401,STANISLAUS R NR HATHAWAY PINES CA (TOTAL FLOW),Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,9922,Inactive,N,N,0,,N,N,0,,N,6,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,1628.847,628.90108439,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11295401,267673,18040010000092,343589,Upper Stanislaus,18040010,Upper Stanislaus River,1804001006,Stony Gulch-Stanislaus River,180400100602,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (-32735.028400000185 13978.258199999109),11295401
11295500,STANISLAUS TU A OUTLET CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,7303,Inactive,N,N,0,,N,N,0,,N,0,,Pipeline,5.0976,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11295500,,18040010000580,343587,Upper Stanislaus,18040010,Lower Middle Fork Stanislaus River,1804001004,Dry Meadow Creek-Middle Fork Stanislaus River,180400100404,exclude,Y,4,N,N,N,N,Y,,0,NA,None,,,,,,,,POINT (-30772.922100000083 14570.60899999924),11295500
11299200,NEW MELONES PP BL NEW MELONES DAM NR SONORA CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,10594,Inactive,N,N,0,,N,N,0,,N,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,2342.934,904.61150327,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11299200,267673,18040010000006,348435,Upper Stanislaus,18040010,Upper Stanislaus River,1804001006,Peoria Creek-Stanislaus River,180400100608,exclude,N,4,N,N,N,N,Y,,0,flood,None,,,,,,B,B,POINT (-46452.488099999726 -7658.658399999142),11299200
11299500,STANISLAUS R BL MELONES PH NR SONORA CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,13390,Inactive,N,Y,3,Inactive,N,Y,2,Inactive,N,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,2342.934,904.61150327,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11299500,267673,18040010000006,348435,Upper Stanislaus,18040010,Upper Stanislaus River,1804001006,Peoria Creek-Stanislaus River,180400100608,exclude,Y,1,N,N,N,N,,,0,flood,None,,,,,,B,B,POINT (-46533.788600001484 -7708.092199999839),11299500
11299996,TULLOCH PH NR KNIGHTS FERRY CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,13880,Inactive,N,N,0,,N,N,0,,N,6,High-volume snowmelt and rain (HSR),Artificial Path,2539.7982,980.62116462,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11299996,267673,18040010000003,349891,Upper Stanislaus,18040010,Lower Stanislaus River,1804001007,Wildcat Creek-Stanislaus River,180400100701,exclude,N,4,N,N,N,N,Y,,0,water quality,None,,,,,,B,,POINT (-53177.74309999868 -15453.518600000069),11299996
11300000,STANISLAUS R NR KNIGHTS FERRY CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6081,Inactive,N,N,0,,N,N,0,,N,6,High-volume snowmelt and rain (HSR),Artificial Path,2539.7982,980.62116462,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11300000,267673,18040010000003,349891,Upper Stanislaus,18040010,Lower Stanislaus River,1804001007,Wildcat Creek-Stanislaus River,180400100701,exclude,Y,2,N,N,N,N,,,0,water quality,None,,,,,,B,,POINT (-53160.696600001305 -15506.236999999732),11300000
11300700,S SAN JOAQUIN MAIN CN BL WOODWARD RES CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,2649,Inactive,N,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Artificial Path,30.2868,11.69379405,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11300700,,18040051003931,2826152,Rock Creek-French Camp Slough,18040051,Littlejohns Creek,1804005102,Simmons Creek-Littlejohns Creek,180400510204,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,B,,B,POINT (-76847.87929999828 -17185.604399999604),11300700
11300800,N MAIN CN BL DIV PT NR KNIGHTS FERRY CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,2557,Inactive,N,N,0,,N,N,0,,N,0,Rain and seasonal groundwater (RGW),Canal/Ditch,0.0,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11300800,,18040051003898,2823132,Rock Creek-French Camp Slough,18040051,Littlejohns Creek,1804005102,Peachys Creek-Littlejohns Creek,180400510203,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (-59267.259700000286 -20061.13309999928),11300800
11304000,CORRAL HOLLOW C NR TRACY CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,2921,Inactive,N,N,0,,N,N,0,,N,4,Perennial groundwater and rain (PGR),Stream/River - Intermittent,165.0717,63.73451351,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11304000,254777,18040003005768,1897194,San Joaquin Delta,18040003,Corral Hollow Creek,1804000301,Lower Corral Hollow Creek,180400030102,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-130343.68890000135 -39015.60620000027),11304000
11305000,SAN DOMINGO C NR SAN ANDREAS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,4565,Inactive,N,N,0,,N,N,0,,N,4,"Flashy, ephemeral rain (FER)",Stream/River - Perennial,68.3523,26.39095973,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11305000,248834,18040011000036,17067338,Upper Calaveras California,18040011,San Antonio Creek-South Fork Calaveras River,1804001101,San Domingo Creek,180400110103,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-54182.0791000016 11145.17640000023),11305000
11305500,SAN ANTONIO C NR SAN ANDREAS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,3469,Inactive,N,N,0,,N,N,0,,N,3,"Flashy, ephemeral rain (FER)",Stream/River - Perennial,124.6437,48.12518186,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11305500,248787,18040011000056,17067208,Upper Calaveras California,18040011,San Antonio Creek-South Fork Calaveras River,1804001101,Lower San Antonio Creek,180400110105,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-55891.425000000745 12919.604499999434),11305500
11306000,SF CALAVERAS R NR SAN ANDREAS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,10774,Inactive,N,Y,2099,Inactive,N,Y,506,Inactive,N,5,Rain and seasonal groundwater (RGW),Stream/River - Perennial,306.6219,118.38732883,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11306000,1654959,18040011000027,17067108,Upper Calaveras California,18040011,San Antonio Creek-South Fork Calaveras River,1804001101,South Fork Calaveras River,180400110107,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-58169.05139999837 14443.439899999648),11306000
11306500,CALAVERITAS C NR SAN ANDREAS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,6026,Inactive,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Perennial,140.3829,54.20211846,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11306500,220382,18040011000096,17067014,Upper Calaveras California,18040011,San Antonio Creek-South Fork Calaveras River,1804001101,Calaveritas Creek,180400110106,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-57851.602699998766 16577.614600000903),11306500
11307000,ESPERANZA C NR MOKELUMNE HILL CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,3104,Inactive,N,N,0,,N,N,0,,N,4,Perennial groundwater and rain (PGR),Stream/River - Intermittent,43.1919,16.67647897,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11307000,259960,18040011000189,17066152,Upper Calaveras California,18040011,North Fork Calaveras River,1804001102,Esperanza Creek,180400110201,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-51959.2014000006 33575.82819999941),11307000
11307500,JESUS MARIA C NR MOKELUMNE HILL CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,3469,Inactive,N,N,0,,N,N,0,,N,4,"Flashy, ephemeral rain (FER)",Stream/River - Perennial,89.2521,34.46041431,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11307500,266859,18040011000159,17066270,Upper Calaveras California,18040011,North Fork Calaveras River,1804001102,Jesus Maria Creek,180400110202,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-56976.39919999987 29914.412599999458),11307500
11308000,NF CALAVERAS R NR SAN ANDREAS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,10774,Inactive,N,Y,2099,Inactive,N,Y,517,Inactive,N,5,Perennial groundwater and rain (PGR),Stream/River - Perennial,221.2236,85.41487441,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11308000,254980,18040011000149,17066690,Upper Calaveras California,18040011,North Fork Calaveras River,1804001102,Cedar Creek-North Fork Calaveras River,180400110205,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-61144.490499999374 23036.991200000048),11308000
11309000,COSGROVE C NR VALLEY SPRINGS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,14609,Inactive,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,55.2015,21.31340955,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11309000,233724,18040011006097,2976116,Upper Calaveras California,18040011,Calaveras River,1804001103,Cosgrove Creek,180400110303,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-73271.81789999828 15586.793899999931),11309000
11309500,CALAVERAS R A JENNY LIND CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,21546,Inactive,N,Y,57,Inactive,N,N,0,,N,6,Rain and seasonal groundwater (RGW),Stream/River - Perennial,1031.0571,398.09320842,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11309500,254689,18040011006112,2976420,Upper Calaveras California,18040011,Calaveras River,1804001103,North Gulch-Calaveras River,180400110306,exclude,Y,1,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-75926.41420000046 8481.935200000182),11309500
11311000,STOCKTON DIVERT CN A STOCKTON CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,3893,Inactive,N,N,0,,N,N,0,,N,4,,Canal/Ditch,1471.4001,568.11052141,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11311000,,18040011005856,2979206,Upper Calaveras California,18040011,Calaveras River,1804001103,Stockton Diverting Canal-Calaveras River,180400110308,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,B,,,POINT (-110827.31650000066 -2449.64120000042),11311000
11311500,BEAR C NR CLEMENTS CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,365,Inactive,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,106.956,41.29592551,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11311500,218821,18040003014940,3952479,San Joaquin Delta,18040003,Bear Creek,1804000304,Lower Bear Creek,180400030405,exclude,Y,3,N,N,N,N,,,2,water supply,Reactivate,,,,,B,,,POINT (-95008.40520000085 18235.2611999996),11311500
11312000,BEAR C NR LOCKEFORD CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,20088,Inactive,N,Y,24,Inactive,N,Y,25,Inactive,N,4,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,121.6953,46.98679872,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11312000,218821,18040003015221,3953369,San Joaquin Delta,18040003,Bear Creek,1804000304,Lower Bear Creek,180400030405,exclude,Y,1,N,N,N,N,,,2,water supply,None,,,,,B,,,POINT (-99758.4274000004 15753.493599999696),11312000
11312500,BEAR C AT HARMONY SCHOOL NR LOCKEFORD CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1825,Inactive,N,N,0,,N,N,0,,N,4,Rain and seasonal groundwater (RGW),Stream/River - Perennial,128.2617,49.52209889,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11312500,218821,18040003015224,3952873,San Joaquin Delta,18040003,Bear Creek,1804000304,Lower Bear Creek,180400030405,exclude,Y,3,N,N,N,N,,,2,water supply,None,,,,,B,,,POINT (-103105.3172999993 10123.16290000081),11312500
11313000,DELTA-MENDOTA CN A TRACY PP NR TRACY CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,21307,Inactive,N,N,0,,N,N,0,,N,0,,Pipeline,0.0,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11313000,233778,18040003004761,1897068,San Joaquin Delta,18040003,Old River,1804000306,Califton Court Forebay,180400030604,exclude,N,4,N,N,N,N,Y,,0,water supply,None,,,,,B,,,POINT (-139390.7274999991 -23265.85089999996),11313000
11313510,SALT SPRINGS PH NR WEST POINT CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,14244,Inactive,N,N,0,,N,N,0,,N,0,Snowmelt (SM),Canal/Ditch,0.0,0.0,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11313510,,18040012000430,17055528,Upper Mokelumne,18040012,Upper North Fork Mokelumne River,1804001201,Salt Springs Reservoir-North Fork Mokelumne River,180400120106,exclude,N,4,N,N,N,N,Y,,0,flood,None,,,,,,B,B,POINT (-19047.682900000364 53511.8992999997),11313510
11315500,BEAR R A PARDOE CAMP CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,8765,Inactive,N,N,0,,N,N,0,,N,3,,Stream/River - Perennial,96.5952,37.29559991,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11315500,269747,18040012002896,17053578,Upper Mokelumne,18040012,Lower North Fork Mokelumne River,1804001204,Bear River,180400120401,exclude,Y,2,N,N,N,N,,,0,flood,None,,,,,,B,B,POINT (-21948.905900001526 57469.243699999526),11315500
11316000,BEAR R NR SALT SPRINGS DAM CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,13148,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,123.8058,47.80166699,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11316000,269747,18040012000241,17055540,Upper Mokelumne,18040012,Lower North Fork Mokelumne River,1804001204,Bear River,180400120401,exclude,Y,1,N,N,N,N,,,0,flood,None,,,,,,B,B,POINT (-25226.498900000006 53027.539200000465),11316000
11316500,NF MOKELUMNE R NR WEST POINT CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,3104,Inactive,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,707.1759,273.04202934,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11316500,272696,18040012000171,17055806,Upper Mokelumne,18040012,Lower North Fork Mokelumne River,1804001204,Tiger Creek-North Fork Mokelumne River,180400120404,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-32103.682900000364 50006.85099999979),11316500
11316610,TIGER C PH NR WEST POINT CA,Infrastructure_Eliminate,USGS,NWIS,Inactive,N,0,,N,Y,14244,Inactive,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Artificial Path,892.4382,344.5721739,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11316610,272696,18040012002837,17058246,Upper Mokelumne,18040012,Lower North Fork Mokelumne River,1804001204,Tiger Creek-North Fork Mokelumne River,180400120404,exclude,N,4,N,N,N,N,Y,,0,,None,,,,,,,,POINT (-43068.41110000014 48209.10659999959),11316610
11317500,SF MOKELUMNE R NR RAILROAD FLAT CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,8400,Inactive,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,100.5624,38.82734376,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11317500,267481,18040012000039,17057430,Upper Mokelumne,18040012,South Fork Mokelumne River,1804001202,Upper South Fork Mokelumne River,180400120201,exclude,Y,2,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-37031.090900000185 35173.474099999294),11317500
11318000,LICKING FORK MOKELUMNE R NR RAILROAD FLAT CA,Inactive,USGS,NWIS,Inactive,N,0,,N,Y,1095,Inactive,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,16.5915,6.40601133,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=11318000,266909,18040012000653,17057240,Upper Mokelumne,18040012,South Fork Mokelumne River,1804001202,Licking Fork,180400120202,exclude,Y,3,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-34743.737900000066 36168.085000000894),11318000
